sample,reference,clay_type,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,notes
1,Al-Tabbaa_Wood_1987,kaolinite,0.49337159124526,5.08777612047083E-17,1,1,0,0,15,vertical_permeability
2,Al-Tabbaa_Wood_1987,kaolinite,0.4947381598668,4.65654701968124E-17,1,1,0,0,15,vertical_permeability
3,Al-Tabbaa_Wood_1987,kaolinite,0.49619678993636,1.42786777611326E-16,1,1,0,0,15,"horizontal permeability"
4,Al-Tabbaa_Wood_1987,kaolinite,0.49908691665285,4.60076438432771E-17,1,1,0,0,15,vertical_permeability
5,Al-Tabbaa_Wood_1987,kaolinite,0.50065201689473,5.61685215441802E-17,1,1,0,0,15,vertical_permeability
6,Al-Tabbaa_Wood_1987,kaolinite,0.50228680795271,1.52658149147591E-16,1,1,0,0,15,"horizontal permeability"
7,Al-Tabbaa_Wood_1987,kaolinite,0.50841923975336,1.5846012443067E-16,1,1,0,0,15,"horizontal permeability"
8,Al-Tabbaa_Wood_1987,kaolinite,0.5133162688845,1.64065774348504E-16,1,1,0,0,15,"horizontal permeability"
9,Al-Tabbaa_Wood_1987,kaolinite,0.51439983788927,5.10671936919757E-17,1,1,0,0,15,vertical_permeability
10,Al-Tabbaa_Wood_1987,kaolinite,0.51756414218268,1.73243118452408E-16,1,1,0,0,15,"horizontal permeability"
11,Al-Tabbaa_Wood_1987,kaolinite,0.52303009430945,1.84757464074647E-16,1,1,0,0,15,"horizontal permeability"
12,Al-Tabbaa_Wood_1987,kaolinite,0.52489486513386,7.8431946371582E-17,1,1,0,0,15,vertical_permeability
13,Al-Tabbaa_Wood_1987,kaolinite,0.52792745218626,1.89886020357654E-16,1,1,0,0,15,"horizontal permeability"
14,Al-Tabbaa_Wood_1987,kaolinite,0.53342832316614,1.96127725854669E-16,1,1,0,0,15,"horizontal permeability"
15,Al-Tabbaa_Wood_1987,kaolinite,0.53568610443747,9.67551281803144E-17,1,1,0,0,15,vertical_permeability
16,Al-Tabbaa_Wood_1987,kaolinite,0.53573180670973,6.13526029156499E-17,1,1,0,0,15,vertical_permeability
17,Al-Tabbaa_Wood_1987,kaolinite,0.53893892887604,2.00095348342113E-16,1,1,0,0,15,"horizontal permeability"
18,Al-Tabbaa_Wood_1987,kaolinite,0.54256226623079,2.09209303017355E-16,1,1,0,0,15,"horizontal permeability"
19,Al-Tabbaa_Wood_1987,kaolinite,0.54760567963807,8.16948900519606E-17,1,1,0,0,15,vertical_permeability
20,Al-Tabbaa_Wood_1987,kaolinite,0.55112659854598,2.12433005048183E-16,1,1,0,0,15,"horizontal permeability"
21,Al-Tabbaa_Wood_1987,kaolinite,0.55401751961365,1.02253869740015E-16,1,1,0,0,15,vertical_permeability
22,Al-Tabbaa_Wood_1987,kaolinite,0.55655225730162,2.24331878286094E-16,1,1,0,0,15,"horizontal permeability"
23,Al-Tabbaa_Wood_1987,kaolinite,0.55707291200442,1.02272730883025E-16,1,1,0,0,15,vertical_permeability
24,Al-Tabbaa_Wood_1987,kaolinite,0.55737128166609,1.2702131152526E-16,1,1,0,0,15,vertical_permeability
25,Al-Tabbaa_Wood_1987,kaolinite,0.56071738184689,2.4159224672473E-16,1,1,0,0,15,"horizontal permeability"
26,Al-Tabbaa_Wood_1987,kaolinite,0.56310822375659,2.49487041258304E-16,1,1,0,0,15,"horizontal permeability"
27,Al-Tabbaa_Wood_1987,kaolinite,0.56517362078673,1.38178983215159E-16,1,1,0,0,15,vertical_permeability
28,Al-Tabbaa_Wood_1987,kaolinite,0.56721753952317,2.76740035695023E-16,1,1,0,0,15,"horizontal permeability"
29,Al-Tabbaa_Wood_1987,kaolinite,0.57553001956062,3.12387028933355E-16,1,1,0,0,15,"horizontal permeability"
30,Al-Tabbaa_Wood_1987,kaolinite,0.5758911109337,1.58713179744879E-16,1,1,0,0,15,vertical_permeability
31,Al-Tabbaa_Wood_1987,kaolinite,0.5771520426163,1.52969551240543E-16,1,1,0,0,15,vertical_permeability
32,Al-Tabbaa_Wood_1987,kaolinite,0.58414179152767,1.81376072135675E-16,1,1,0,0,15,vertical_permeability
33,Al-Tabbaa_Wood_1987,kaolinite,0.59291536819143,2.11406819537471E-16,1,1,0,0,15,vertical_permeability
34,Al-Tabbaa_Wood_1987,kaolinite,0.59741636601174,3.91376723044507E-16,1,1,0,0,15,"horizontal permeability"
35,Al-Tabbaa_Wood_1987,kaolinite,0.602584966018,1.90280372359873E-16,1,1,0,0,15,vertical_permeability
36,Al-Tabbaa_Wood_1987,kaolinite,0.60950017989825,2.15835060121495E-16,1,1,0,0,15,vertical_permeability
37,Al-Tabbaa_Wood_1987,kaolinite,0.61462899032444,3.70224361347774E-16,1,1,0,0,15,"horizontal permeability"
38,Al-Tabbaa_Wood_1987,kaolinite,0.61555900697922,2.88721411756886E-16,1,1,0,0,15,vertical_permeability
39,Al-Tabbaa_Wood_1987,kaolinite,0.62938478752517,4.85855353681458E-16,1,1,0,0,15,"horizontal permeability"
40,Al-Tabbaa_Wood_1987,kaolinite,0.63242603653337,2.82696214238591E-16,1,1,0,0,15,vertical_permeability
41,Al-Tabbaa_Wood_1987,kaolinite,0.6436114399339,3.39445450740568E-16,1,1,0,0,15,vertical_permeability
42,Al-Tabbaa_Wood_1987,kaolinite,0.64858678163808,5.66695798290184E-16,1,1,0,0,15,"horizontal permeability"
43,Al-Tabbaa_Wood_1987,kaolinite,0.65512007894153,4.33480926185088E-16,1,1,0,0,15,vertical_permeability
44,Al-Tabbaa_Wood_1987,kaolinite,0.66575883391907,6.16884690955146E-16,1,1,0,0,15,"horizontal permeability"
45,Al-Tabbaa_Wood_1987,kaolinite,0.66653924700469,5.16687544790708E-16,1,1,0,0,15,vertical_permeability
46,Al-Tabbaa_Wood_1987,kaolinite,0.6771997868901,4.11230192105411E-16,1,1,0,0,15,vertical_permeability
47,Al-Tabbaa_Wood_1987,kaolinite,0.68742050632371,6.14760553045096E-16,1,1,0,0,15,vertical_permeability
48,Al-Tabbaa_Wood_1987,kaolinite,0.68784980108179,6.66822111852376E-16,1,1,0,0,15,vertical_permeability
49,Al-Tabbaa_Wood_1987,kaolinite,0.68893001595719,6.57091716870169E-16,1,1,0,0,15,vertical_permeability
50,Mesri_Olsen_1971,kaolinite,0.4484538490074784,2.131846891298904E-17,1,1,0,0,15,
51,Mesri_Olsen_1971,kaolinite,0.4881806577676343,1.5417945856067364E-17,1,1,0,0,15,
52,Mesri_Olsen_1971,kaolinite,0.49723397528201313,4.075820030016355E-17,1,1,0,0,15,
53,Mesri_Olsen_1971,kaolinite,0.5220338569922953,8.092681137865324E-17,1,1,0,0,15,
54,Mesri_Olsen_1971,kaolinite,0.5350644381468745,3.179233213864793E-17,1,1,0,0,15,
55,Mesri_Olsen_1971,kaolinite,0.5469224113518538,1.3813257081703026E-16,1,1,0,0,15,
56,Mesri_Olsen_1971,kaolinite,0.5618230858630121,5.727709304368561E-17,1,1,0,0,15,
57,Mesri_Olsen_1971,kaolinite,0.5658389291669438,2.2702899116937565E-16,1,1,0,0,15,
58,Mesri_Olsen_1971,kaolinite,0.5856692517412057,1.1129519935721442E-16,1,1,0,0,15,
59,Mesri_Olsen_1971,kaolinite,0.58647299051048,2.9741022664138796E-16,1,1,0,0,15,
60,Mesri_Olsen_1971,kaolinite,0.6077768834428912,3.516139821076271E-16,1,1,0,0,15,
61,Mesri_Olsen_1971,kaolinite,0.6092149038411282,2.787468697434978E-16,1,1,0,0,15,
62,Mesri_Olsen_1971,kaolinite,0.6311879528497204,5.300581252583777E-16,1,1,0,0,15,
63,Mesri_Olsen_1971,kaolinite,0.6346643050324716,3.459630060168745E-16,1,1,0,0,15,
64,Mesri_Olsen_1971,kaolinite,0.6374602212838546,7.4087335112538E-16,1,1,0,0,15,
65,Mesri_Olsen_1971,kaolinite,0.647063856519198,6.543312581291054E-16,1,1,0,0,15,
66,Mesri_Olsen_1971,kaolinite,0.6602812959617022,1.0079453678205118E-15,1,1,0,0,15,
67,Mesri_Olsen_1971,kaolinite,0.6642936947704057,1.320418413267711E-15,1,1,0,0,15,
68,Mesri_Olsen_1971,kaolinite,0.694374721798284,2.187837359029016E-15,1,1,0,0,15,
69,Olsen1966,kaolinite,0.225,2.93577981651376E-19,1,1,0,0,15,
70,Olsen1966,kaolinite,0.365,5.59633027522936E-18,1,1,0,0,15,
71,Olsen1966,kaolinite,0.465,4.09785932721713E-17,1,1,0,0,15,
72,Olsen1966,kaolinite,0.548,1.37614678899083E-16,1,1,0,0,15,
73,Olsen1966,kaolinite,0.575,2.00815494393476E-16,1,1,0,0,15,
74,Olsen1966,kaolinite,0.588,2.35474006116208E-16,1,1,0,0,15,
75,Vasseur1995,kaolinite,0.22480620155039,1.00611620795107E-18,1,1,0,0,15,
76,Vasseur1995,kaolinite,0.27536231884058,1.78389398572885E-18,1,1,0,0,15,
77,Vasseur1995,kaolinite,0.31034482758621,3.6289500509684E-18,1,1,0,0,15,
78,Vasseur1995,kaolinite,0.375,8.78695208970438E-18,1,1,0,0,15,
79,Vasseur1995,kaolinite,0.46524064171123,3.17023445463812E-17,1,1,0,0,15,
80,Mesri_Olsen_1971,illite,0.4338047140558777,6.736929370555668E-20,1,0,1,0,15,
81,Mesri_Olsen_1971,illite,0.44413932453972643,9.992700685797494E-20,1,0,1,0,15,
82,Mesri_Olsen_1971,illite,0.45688503654095786,1.1561419284342038E-19,1,0,1,0,15,
83,Mesri_Olsen_1971,illite,0.46971970732822205,1.97339860651054E-19,1,0,1,0,15,
84,Mesri_Olsen_1971,illite,0.5007662541485153,1.2469471114950302E-19,1,0,1,0,15,
85,Mesri_Olsen_1971,illite,0.5294195780542604,2.1399182904309063E-19,1,0,1,0,15,
86,Mesri_Olsen_1971,illite,0.5390854655501495,4.1805954713703736E-19,1,0,1,0,15,
87,Mesri_Olsen_1971,illite,0.5697818314415602,2.7286278755010196E-19,1,0,1,0,15,
88,Mesri_Olsen_1971,illite,0.5916222313109734,3.834513583909132E-19,1,0,1,0,15,
89,Mesri_Olsen_1971,illite,0.5996746864852059,8.345667290022481E-19,1,0,1,0,15,
90,Mesri_Olsen_1971,illite,0.6172831163150333,4.0472981299128936E-19,1,0,1,0,15,
91,Mesri_Olsen_1971,illite,0.6346643050324715,7.135785905420586E-19,1,0,1,0,15,
92,Mesri_Olsen_1971,illite,0.647063856519198,2.266611082839515E-18,1,0,1,0,15,
93,Mesri_Olsen_1971,illite,0.6581018804648419,7.213280065483883E-19,1,0,1,0,15,
94,Mesri_Olsen_1971,illite,0.6653477106810451,9.552088914118088E-19,1,0,1,0,15,
95,Mesri_Olsen_1971,illite,0.6813548934781285,1.5363905057603594E-18,1,0,1,0,15,
96,Mesri_Olsen_1971,illite,0.6890246406577698,4.4761944673617426E-18,1,0,1,0,15,
97,Mesri_Olsen_1971,illite,0.7008088998380327,1.6841275155125545E-18,1,0,1,0,15,
98,Mesri_Olsen_1971,illite,0.7081811222887476,2.2062237228015726E-18,1,0,1,0,15,
99,Mesri_Olsen_1971,illite,0.7146268841540029,3.567781917618573E-18,1,0,1,0,15,
100,Mesri_Olsen_1971,illite,0.7227909594254125,1.1627184972344713E-17,1,0,1,0,15,
101,Mesri_Olsen_1971,illite,0.733366107436848,3.5822625985785E-18,1,0,1,0,15,
102,Mesri_Olsen_1971,illite,0.7480214428709042,4.79527991855087E-18,1,0,1,0,15,
103,Mesri_Olsen_1971,illite,0.7496490120470694,7.228885121349331E-18,1,0,1,0,15,
104,Mesri_Olsen_1971,illite,0.7567896217214442,2.4765289075229507E-17,1,0,1,0,15,
105,Mesri_Olsen_1971,illite,0.7653561552725354,7.548058470574684E-18,1,0,1,0,15,
106,Mesri_Olsen_1971,illite,0.780459323312681,1.6673859743918565E-17,1,0,1,0,15,
107,Mesri_Olsen_1971,illite,0.7812478189724351,1.20588710095763E-17,1,0,1,0,15,
108,Mesri_Olsen_1971,illite,0.7822533149328634,5.650895022125936E-17,1,0,1,0,15,
109,Mesri_Olsen_1971,illite,0.7904923443106809,3.401269397444243E-17,1,0,1,0,15,
110,Mesri_Olsen_1971,illite,0.7905952454805468,1.4489498796110827E-17,1,0,1,0,15,
111,Mesri_Olsen_1971,illite,0.8131690307188925,3.275085110272129E-17,1,0,1,0,15,
112,Mesri_Olsen_1971,illite,0.8159912404549613,2.4865804818136165E-17,1,0,1,0,15,
113,Mesri_Olsen_1971,smectite,0.5613722905070895,4.282278608206702E-21,1,0,0,1,15,
114,Mesri_Olsen_1971,smectite,0.5645085186311151,2.764967952923385E-21,1,0,0,1,15,
115,Mesri_Olsen_1971,smectite,0.5860715112870772,3.823134670473095E-21,1,0,0,1,15,
116,Mesri_Olsen_1971,smectite,0.5892616854860763,4.719475845612697E-21,1,0,0,1,15,
117,Mesri_Olsen_1971,smectite,0.6634988153974558,9.627170320605856E-21,1,0,0,1,15,
118,Mesri_Olsen_1971,smectite,0.6808778828776478,8.099214946787044E-21,1,0,0,1,15,
119,Mesri_Olsen_1971,smectite,0.6959006590230098,1.3027053098264455E-20,1,0,0,1,15,
120,Mesri_Olsen_1971,smectite,0.7081811222887477,1.4910200126516712E-20,1,0,0,1,15,
121,Mesri_Olsen_1971,smectite,0.7516903029594639,2.541562332919818E-20,1,0,0,1,15,
122,Mesri_Olsen_1971,smectite,0.7785205310844475,3.3294718245607873E-20,1,0,0,1,15,
123,Mesri_Olsen_1971,smectite,0.795516488252718,5.212560930744961E-20,1,0,0,1,15,
124,Mesri_Olsen_1971,smectite,0.8025251590962862,4.5296887757635476E-20,1,0,0,1,15,
125,Mesri_Olsen_1971,smectite,0.8107642026286955,9.079258967519961E-20,1,0,0,1,15,
126,Mesri_Olsen_1971,smectite,0.8422100227545302,1.6624380089584616E-19,1,0,0,1,15,
127,Mesri_Olsen_1971,smectite,0.8445118387803014,2.7919822358017344E-19,1,0,0,1,15,
128,Mesri_Olsen_1971,smectite,0.8525255599732293,1.8124804253791428E-19,1,0,0,1,15,
129,Mesri_Olsen_1971,smectite,0.8595226802183391,2.270897844488101E-19,1,0,0,1,15,
130,Mesri_Olsen_1971,smectite,0.8899460702388962,1.2649225012046853E-18,1,0,0,1,15,
131,Mesri_Olsen_1971,smectite,0.890931457594658,5.687627762151849E-19,1,0,0,1,15,
132,Mesri_Olsen_1971,smectite,0.8916521122281263,7.05912428544851E-19,1,0,0,1,15,
133,Mesri_Olsen_1971,smectite,0.9016949449696484,7.779822287252761E-19,1,0,0,1,15,
134,Mesri_Olsen_1971,smectite,0.9201144500494417,1.8940411627125824E-18,1,0,0,1,15,
135,Mesri_Olsen_1971,smectite,0.920144375287459,3.884541739582775E-18,1,0,0,1,15,
136,Mesri_Olsen_1971,smectite,0.9256972416354973,2.809378781420359E-18,1,0,0,1,15,
137,Mesri_Olsen_1971,smectite,0.9314991521906051,2.618899951015199E-18,1,0,0,1,15,
138,Mesri_Olsen_1971,smectite,0.9389359295446555,5.975754472997404E-18,1,0,0,1,15,
139,Mesri_Olsen_1971,smectite,0.9406281361524119,7.376781443886034E-18,1,0,0,1,15,
140,Mesri_Olsen_1971,smectite,0.9475713953206978,8.62752392208383E-18,1,0,0,1,15,
141,Mesri_Olsen_1971,smectite,0.9485085240084256,6.4103853272091934E-18,1,0,0,1,15,
142,Mesri_Olsen_1971,smectite,0.9533636553882858,1.2456028667588955E-17,1,0,0,1,15,
143,Mesri_Olsen_1971,smectite,0.9603100426894982,1.9291429779513075E-17,1,0,0,1,15,
144,Mesri_Olsen_1971,smectite,0.9609283791531928,1.4886096190802504E-17,1,0,0,1,15,
145,Mesri_Olsen_1971,smectite,0.9670619917515952,3.275085110272182E-17,1,0,0,1,15,
146,Mesri_Olsen_1971,smectite,0.9678760107233237,2.5823848273586426E-17,1,0,0,1,15,
147,Mesri_Olsen_1971,smectite,0.9708379199156806,4.431697602932419E-17,1,0,0,1,15,
148,Mesri_Olsen_1971,smectite,0.9727606933835259,3.9779588584969543E-17,1,0,0,1,15,
