,sample,reference,clay_type,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,notes,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
70,71,Olsen1966,kaolinite,0.465,4.09785932721713e-17,1,1,0,0,15,,3.71565514682427e-17,9.301784260785458e-20,7.729463186333086e-22,3.715655146824262e-17,1.2012409840611975e-10,0.0,3.715655146824262e-17
71,72,Olsen1966,kaolinite,0.5479999999999999,1.37614678899083e-16,1,1,0,0,15,,1.235285138425097e-16,3.058484376207245e-19,2.107441855483181e-21,1.2352851384250977e-16,3.8953561273832927e-10,0.0,1.2352851384250977e-16
72,73,Olsen1966,kaolinite,0.575,2.0081549439347599e-16,1,1,0,0,15,,1.8353273695805108e-16,4.527655353607607e-19,2.933037839596283e-21,1.835327369580509e-16,5.757592321750737e-10,0.0,1.835327369580509e-16
73,74,Olsen1966,kaolinite,0.588,2.3547400611620803e-16,1,1,0,0,15,,2.2256604198014274e-16,5.480870846295861e-19,3.445392106982124e-21,2.225660419801428e-16,6.968248150940129e-10,0.0,2.225660419801428e-16
74,75,Vasseur1995,kaolinite,0.22480620155039002,1.00611620795107e-18,1,1,0,0,15,,7.06918309858835e-19,1.8352846931448513e-21,2.828292599412393e-23,7.069183098588327e-19,2.624047418202264e-12,0.0,7.069183098588327e-19
75,76,Vasseur1995,kaolinite,0.27536231884058004,1.78389398572885e-18,1,1,0,0,15,,1.8753218793435373e-18,4.825235632393243e-21,6.386854444463332e-23,1.8753218793435316e-18,6.7315950314864374e-12,0.0,1.8753218793435316e-18
76,77,Vasseur1995,kaolinite,0.31034482758621,3.6289500509684e-18,1,1,0,0,15,,3.452387563648123e-18,8.833401525875588e-21,1.0631102597081538e-22,3.4523875636481283e-18,1.2106222879385496e-11,0.0,3.4523875636481283e-18
77,78,Vasseur1995,kaolinite,0.375,8.78695208970438e-18,1,1,0,0,15,,9.751903505979623e-18,2.4714732812239443e-20,2.529902212537897e-22,9.751903505979586e-18,3.288312737610324e-11,0.0,9.751903505979586e-18
78,79,Vasseur1995,kaolinite,0.46524064171123,3.17023445463812e-17,1,1,0,0,15,,3.728650667108471e-17,9.334017977631512e-20,7.752027866590629e-22,3.7286506671084754e-17,1.2053318017592505e-10,0.0,3.7286506671084754e-17
79,80,Mesri_Olsen_1971,illite,0.4338047140558777,6.736929370555668e-20,1,0,1,0,15,,2.3568795971879986e-17,5.924940648288136e-20,5.285506135131563e-22,5.924940648288152e-20,7.718074953692832e-11,0.0,5.924940648288152e-20
80,81,Mesri_Olsen_1971,illite,0.4441393245397264,9.992700685797494e-20,1,0,1,0,15,,2.7423442864918334e-17,6.884372962400085e-20,5.998072179817457e-22,6.884372962400102e-20,8.940362010770885e-11,0.0,6.884372962400102e-20
81,82,Mesri_Olsen_1971,illite,0.4568850365409578,1.1561419284342035e-19,1,0,1,0,15,,3.3024620871892224e-17,8.276351440044285e-20,7.004921558899951e-22,8.276351440044257e-20,1.0710363454191519e-10,0.0,8.276351440044257e-20
82,83,Mesri_Olsen_1971,illite,0.4697197073282221,1.9733986065105398e-19,1,0,1,0,15,,3.978842039745547e-17,9.954388518893744e-20,8.183976049433436e-22,9.954388518893726e-20,1.28404238653735e-10,0.0,9.954388518893726e-20
83,84,Mesri_Olsen_1971,illite,0.5007662541485153,1.2469471114950302e-19,1,0,1,0,15,,6.232515363756251e-17,1.5528558379743043e-19,1.1904099350906457e-21,1.552855837974303e-19,1.9901179539608443e-10,0.0,1.552855837974303e-19
84,85,Mesri_Olsen_1971,illite,0.5294195780542604,2.1399182904309066e-19,1,0,1,0,15,,9.430707135126197e-17,2.3407764256628854e-19,1.6822222509085357e-21,2.3407764256628854e-19,2.987002192614208e-10,0.0,2.3407764256628854e-19
85,86,Mesri_Olsen_1971,illite,0.5390854655501495,4.180595471370373e-19,1,0,1,0,15,,1.0850278358158255e-16,2.6896592017513246e-19,1.8911562261290498e-21,2.6896592017513304e-19,3.428476050426066e-10,0.0,2.6896592017513304e-19
86,87,Mesri_Olsen_1971,illite,0.5697818314415602,2.7286278755010196e-19,1,0,1,0,15,,1.6993885514571542e-16,4.1952655860406376e-19,2.750513640569196e-21,4.1952655860406496e-19,5.335890480586542e-10,0.0,4.1952655860406496e-19
87,88,Mesri_Olsen_1971,illite,0.5916222313109734,3.8345135839091317e-19,1,0,1,0,15,,2.349249130124047e-16,5.782347398095513e-19,3.60441225701186e-21,5.782347398095506e-19,7.351553420217798e-10,0.0,5.782347398095506e-19
88,89,Mesri_Olsen_1971,illite,0.5996746864852059,8.345667290022481e-19,1,0,1,0,15,,2.6505768350690974e-16,6.516796132933195e-19,3.986519702623229e-21,6.516796132933194e-19,8.286160971654181e-10,0.0,6.516796132933194e-19
89,90,Mesri_Olsen_1971,illite,0.6172831163150333,4.0472981299128936e-19,1,0,1,0,15,,3.4611553042087835e-16,8.488882551020179e-19,4.98133156877733e-21,8.488882551020158e-19,1.080117872729257e-09,0.0,8.488882551020158e-19
90,91,Mesri_Olsen_1971,illite,0.6346643050324715,7.135785905420585e-19,1,0,1,0,15,,4.524920960930486e-16,1.107060766416725e-18,6.230489197638846e-21,1.1070607664167235e-18,1.4104811464712854e-09,0.0,1.1070607664167235e-18
91,92,Mesri_Olsen_1971,illite,0.647063856519198,2.266611082839515e-18,1,0,1,0,15,,5.496300675543763e-16,1.342317438697653e-18,7.328909768884316e-21,1.3423174386976563e-18,1.7125036628372127e-09,0.0,1.3423174386976563e-18
92,93,Mesri_Olsen_1971,illite,0.6581018804648419,7.213280065483883e-19,1,0,1,0,15,,6.552325182465604e-16,1.5976409751557091e-18,8.487208945139554e-21,1.597640975155706e-18,2.0412309472658267e-09,0.0,1.597640975155706e-18
93,94,Mesri_Olsen_1971,illite,0.6653477106810451,9.552088914118088e-19,1,0,1,0,15,,7.364441198844323e-16,1.793731720752123e-18,9.356912337296446e-21,1.7937317207521155e-18,2.294299204328896e-09,0.0,1.7937317207521155e-18
94,95,Mesri_Olsen_1971,illite,0.6813548934781285,1.5363905057603594e-18,1,0,1,0,15,,9.577265362003177e-16,2.327079660121484e-18,1.1651954889254105e-20,2.3270796601214883e-18,2.9849501149554384e-09,0.0,2.3270796601214883e-18
95,96,Mesri_Olsen_1971,illite,0.6890246406577698,4.4761944673617426e-18,1,0,1,0,15,,1.0888854444685709e-15,2.6426519926453436e-18,1.2969941087659957e-20,2.6426519926453355e-18,3.395013497631715e-09,0.0,2.6426519926453355e-18
96,97,Mesri_Olsen_1971,illite,0.7008088998380327,1.6841275155125543e-18,1,0,1,0,15,,1.3308343503505096e-15,3.2238990650746313e-18,1.5335387947091225e-20,3.2238990650746375e-18,4.1526748925628876e-09,0.0,3.2238990650746375e-18
97,98,Mesri_Olsen_1971,illite,0.7081811222887476,2.2062237228015726e-18,1,0,1,0,15,,1.5123023647179066e-15,3.659200402049699e-18,1.706260149344717e-20,3.659200402049713e-18,4.721874430499459e-09,0.0,3.659200402049713e-18
98,99,Mesri_Olsen_1971,illite,0.7146268841540029,3.567781917618573e-18,1,0,1,0,15,,1.6937750684316323e-15,4.094032333970878e-18,1.8755894265355942e-20,4.094032333970887e-18,5.291806723283391e-09,0.0,4.094032333970887e-18
99,100,Mesri_Olsen_1971,illite,0.7227909594254125,1.1627184972344713e-17,1,0,1,0,15,,1.9595815855366663e-15,4.730177492531634e-18,2.118335790853362e-20,4.730177492531646e-18,6.127764429075337e-09,0.0,4.730177492531646e-18
100,101,Mesri_Olsen_1971,illite,0.7333661074368479,3.5822625985785004e-18,1,0,1,0,15,,2.3763202790620423e-15,5.725981521424528e-18,2.4883569117908697e-20,5.7259815214245485e-18,7.440846676677114e-09,0.0,5.7259815214245485e-18
101,102,Mesri_Olsen_1971,illite,0.7480214428709042,4.7952799185508695e-18,1,0,1,0,15,,3.129988237853743e-15,7.522962003233571e-18,3.1318507112943343e-20,7.522962003233594e-18,9.821770805923343e-09,0.0,7.522962003233594e-18
102,103,Mesri_Olsen_1971,illite,0.7496490120470694,7.228885121349331e-18,1,0,1,0,15,,3.2292973429610998e-15,7.759426221752652e-18,3.214600941114919e-20,7.75942622175263e-18,1.0136008025327115e-08,0.0,7.75942622175263e-18
103,104,Mesri_Olsen_1971,illite,0.7567896217214442,2.476528907522951e-17,1,0,1,0,15,,3.7096321434122296e-15,8.902240160178457e-18,3.609179821274393e-20,8.90224016017847e-18,1.1657330351954467e-08,0.0,8.90224016017847e-18
104,105,Mesri_Olsen_1971,illite,0.7653561552725354,7.548058470574683e-18,1,0,1,0,15,,4.397305655943683e-15,1.0536024957260697e-17,4.159800346357604e-20,1.0536024957260735e-17,1.383895856270399e-08,0.0,1.0536024957260735e-17
105,106,Mesri_Olsen_1971,illite,0.7804593233126809,1.6673859743918565e-17,1,0,1,0,15,,5.999484218071726e-15,1.433391486376636e-17,5.3917091553888667e-20,1.4333914863766348e-17,1.8934627658588026e-08,0.0,1.4333914863766348e-17
106,107,Mesri_Olsen_1971,illite,0.7812478189724351,1.20588710095763e-17,1,0,1,0,15,,6.100102433166689e-15,1.4572084872157297e-17,5.467103408361668e-20,1.457208487215724e-17,1.925512449531853e-08,0.0,1.457208487215724e-17
107,108,Mesri_Olsen_1971,illite,0.7822533149328634,5.650895022125936e-17,1,0,1,0,15,,6.231254308287442e-15,1.4882476010715055e-17,5.565069654501113e-20,1.488247601071505e-17,1.9672953212957743e-08,0.0,1.488247601071505e-17
108,109,Mesri_Olsen_1971,illite,0.7904923443106809,3.4012693974442427e-17,1,0,1,0,15,,7.438156588641244e-15,1.773612914014889e-17,6.451604801070943e-20,1.7736129140148858e-17,2.3521468907023844e-08,0.0,1.7736129140148858e-17
109,110,Mesri_Olsen_1971,illite,0.7905952454805468,1.4489498796110827e-17,1,0,1,0,15,,7.454859956586665e-15,1.7775591760351672e-17,6.463698881486442e-20,1.7775591760351737e-17,2.3574772143998074e-08,0.0,1.7775591760351737e-17
110,111,Mesri_Olsen_1971,illite,0.8131690307188925,3.2750851102721287e-17,1,0,1,0,15,,1.2456024772696034e-14,2.9560819075306085e-17,9.922451574686072e-20,2.956081907530613e-17,3.9567370328410845e-08,0.0,2.956081907530613e-17
111,112,Mesri_Olsen_1971,illite,0.8159912404549613,2.4865804818136162e-17,1,0,1,0,15,,1.3325113309364002e-14,3.160376947986522e-17,1.0497239651891459e-19,3.1603769479865244e-17,4.2351108413113474e-08,0.0,3.1603769479865244e-17
112,113,Mesri_Olsen_1971,smectite,0.5613722905070895,4.2822786082067024e-21,1,0,0,1,15,,1.5018870296860465e-16,3.711904831623478e-19,2.4809363318533287e-21,2.4809363318533377e-21,4.723064038187758e-10,0.0,2.4809363318533377e-21
113,114,Mesri_Olsen_1971,smectite,0.5645085186311151,2.764967952923385e-21,1,0,0,1,15,,1.5726039144447314e-16,3.885039103226504e-19,2.5780963045950727e-21,2.578096304595066e-21,4.942516403121953e-10,0.0,2.578096304595066e-21
114,115,Mesri_Olsen_1971,smectite,0.5860715112870772,3.823134670473095e-21,1,0,0,1,15,,2.1626619771976302e-16,5.327136717137384e-19,3.363775015060091e-21,3.3637750150600948e-21,6.772861703931823e-10,0.0,3.3637750150600948e-21
115,116,Mesri_Olsen_1971,smectite,0.5892616854860763,4.719475845612697e-21,1,0,0,1,15,,2.267915243705308e-16,5.583962179403671e-19,3.499921007755686e-21,3.49992100775568e-21,7.099299258263646e-10,0.0,3.49992100775568e-21
116,117,Mesri_Olsen_1971,smectite,0.6634988153974558,9.627170320605855e-21,1,0,0,1,15,,7.147279438455272e-16,1.7413170018902967e-18,9.125976719918856e-21,9.125976719918862e-21,2.226605988827538e-09,0.0,9.125976719918862e-21
117,118,Mesri_Olsen_1971,smectite,0.6808778828776478,8.099214946787044e-21,1,0,0,1,15,,9.501643698202634e-16,2.3088732397232333e-18,1.1575088918418394e-20,1.1575088918418438e-20,2.9613225028124387e-09,0.0,1.1575088918418438e-20
118,119,Mesri_Olsen_1971,smectite,0.6959006590230098,1.3027053098264455e-20,1,0,0,1,15,,1.2234848039270918e-15,2.9661388648278713e-18,1.429548274326434e-20,1.4295482743264384e-20,3.816325436007571e-09,0.0,1.4295482743264384e-20
119,120,Mesri_Olsen_1971,smectite,0.7081811222887477,1.4910200126516712e-20,1,0,0,1,15,,1.5123023647179096e-15,3.659200402049706e-18,1.70626014934472e-20,1.7062601493447195e-20,4.72187443049947e-09,0.0,1.7062601493447195e-20
120,121,Mesri_Olsen_1971,smectite,0.7516903029594639,2.5415623329198183e-20,1,0,0,1,15,,3.35896083851738e-15,8.06806684872578e-18,3.32201568938499e-20,3.3220156893849847e-20,1.0546452062167787e-08,0.0,3.3220156893849847e-20
121,122,Mesri_Olsen_1971,smectite,0.7785205310844475,3.3294718245607873e-20,1,0,0,1,15,,5.760126236705173e-15,1.3767189970379135e-17,5.211507987840928e-20,5.211507987840931e-20,1.817241112875318e-08,0.0,5.211507987840931e-20
122,123,Mesri_Olsen_1971,smectite,0.795516488252718,5.212560930744961e-20,1,0,0,1,15,,8.307057224468661e-15,1.9787915219334917e-17,7.075041155179551e-20,7.075041155179534e-20,2.6295532810950186e-08,0.0,7.075041155179534e-20
123,124,Mesri_Olsen_1971,smectite,0.8025251590962862,4.5296887757635476e-20,1,0,0,1,15,,9.724547194443622e-15,2.313096800627036e-17,8.069679317471506e-20,8.069679317471514e-20,3.0825755336642126e-08,0.0,8.069679317471514e-20
124,125,Mesri_Olsen_1971,smectite,0.8107642026286955,9.079258967519961e-20,1,0,0,1,15,,1.1767597151111209e-14,2.7941619329598857e-17,9.462444090039334e-20,9.462444090039342e-20,3.736300336022121e-08,0.0,9.462444090039342e-20
125,126,Mesri_Olsen_1971,smectite,0.8422100227545302,1.6624380089584614e-19,1,0,0,1,15,,2.601454421555438e-14,6.132191388904428e-17,1.8350938648060165e-19,1.8350938648060206e-19,8.304112006785114e-08,0.0,1.8350938648060206e-19
126,127,Mesri_Olsen_1971,smectite,0.8445118387803014,2.7919822358017344e-19,1,0,0,1,15,,2.7703270573747163e-14,6.526489627520236e-17,1.9340338740961294e-19,1.9340338740961234e-19,8.845641393711732e-08,0.0,1.9340338740961234e-19
127,128,Mesri_Olsen_1971,smectite,0.8525255599732293,1.8124804253791426e-19,1,0,0,1,15,,3.469645769804846e-14,8.157102701176277e-17,2.333894864365527e-19,2.33389486436553e-19,1.1087074896645948e-07,0.0,2.33389486436553e-19
128,129,Mesri_Olsen_1971,smectite,0.8595226802183391,2.270897844488101e-19,1,0,0,1,15,,4.258903616548232e-14,9.993809632256086e-17,2.7694917811896473e-19,2.7694917811896536e-19,1.3613844353079853e-07,0.0,2.7694917811896536e-19
129,130,Mesri_Olsen_1971,smectite,0.8899460702388962,1.264922501204685e-18,1,0,0,1,15,,1.1652978015500561e-13,2.7092888611465755e-16,6.417677604653331e-19,6.417677604653339e-19,3.7076374339150444e-07,0.0,6.417677604653339e-19
130,131,Mesri_Olsen_1971,smectite,0.890931457594658,5.687627762151849e-19,1,0,0,1,15,,1.2085668018744862e-13,2.808947491405853e-16,6.616035940761619e-19,6.616035940761618e-19,3.8437354279954005e-07,0.0,6.616035940761618e-19
131,132,Mesri_Olsen_1971,smectite,0.8916521122281263,7.059124285448509e-19,1,0,0,1,15,,1.2414527375015862e-13,2.88466951314565e-16,6.766010602001233e-19,6.7660106020012455e-19,3.947089271760465e-07,0.0,6.7660106020012455e-19
132,133,Mesri_Olsen_1971,smectite,0.9016949449696484,7.77982228725276e-19,1,0,0,1,15,,1.836414376162034e-13,4.251819623479465e-16,9.382174690760303e-19,9.382174690760278e-19,5.804806841905561e-07,0.0,9.382174690760278e-19
133,134,Mesri_Olsen_1971,smectite,0.9201144500494416,1.8940411627125824e-18,1,0,0,1,15,,4.1774985574590494e-13,9.599356310767198e-16,1.8634849221149437e-18,1.863484922114938e-18,1.2930748234587655e-06,0.0,1.863484922114938e-18
134,135,Mesri_Olsen_1971,smectite,0.9201443752874591,3.884541739582775e-18,1,0,0,1,15,,4.183643074205876e-13,9.613345850417628e-16,1.8657731085564047e-18,1.86577310855641e-18,1.2949127402753263e-06,0.0,1.86577310855641e-18
135,136,Mesri_Olsen_1971,smectite,0.9256972416354972,2.809378781420359e-18,1,0,0,1,15,,5.545830579936685e-13,1.271048885472442e-15,2.360823330656819e-18,2.3608233306568113e-18,1.6988683693755904e-06,0.0,2.3608233306568113e-18
136,137,Mesri_Olsen_1971,smectite,0.9314991521906052,2.618899951015199e-18,1,0,0,1,15,,7.606936914063658e-13,1.7383810093613304e-15,3.07362659229758e-18,3.073626592297581e-18,2.2984493910111186e-06,0.0,3.073626592297581e-18
137,138,Mesri_Olsen_1971,smectite,0.9389359295446555,5.975754472997404e-18,1,0,0,1,15,,1.1852979746944548e-12,2.6976997482116425e-15,4.451149841133949e-18,4.4511498411339674e-18,3.498547035252901e-06,0.0,4.4511498411339674e-18
138,139,Mesri_Olsen_1971,smectite,0.940628136152412,7.376781443886034e-18,1,0,0,1,15,,1.3203976731338496e-12,3.0022045488755396e-15,4.870921238297363e-18,4.870921238297366e-18,3.87218828174735e-06,0.0,4.870921238297366e-18
139,140,Mesri_Olsen_1971,smectite,0.9475713953206978,8.62752392208383e-18,1,0,0,1,15,,2.124186776558242e-12,4.8087450668120324e-15,7.244573028723364e-18,7.244573028723387e-18,6.031373441922274e-06,0.0,7.244573028723387e-18
140,141,Mesri_Olsen_1971,smectite,0.9485085240084256,6.4103853272091934e-18,1,0,0,1,15,,2.2751788398510046e-12,5.147314291651274e-15,7.672070593659262e-18,7.672070593659265e-18,6.4266062248980685e-06,0.0,7.672070593659265e-18
141,142,Mesri_Olsen_1971,smectite,0.9533636553882858,1.2456028667588954e-17,1,0,0,1,15,,3.313354910049455e-12,7.470225695307894e-15,1.0500643300081086e-17,1.0500643300081057e-17,9.07390607937729e-06,0.0,1.0500643300081057e-17
142,143,Mesri_Olsen_1971,smectite,0.9603100426894982,1.9291429779513075e-17,1,0,0,1,15,,6.087986312955422e-12,1.3649377718848499e-14,1.7450485708420624e-17,1.7450485708420618e-17,1.5710410377106144e-05,0.0,1.7450485708420618e-17
143,144,Mesri_Olsen_1971,smectite,0.9609283791531928,1.4886096190802504e-17,1,0,0,1,15,,6.457981756792e-12,1.447107067086488e-14,1.833162194318132e-17,1.8331621943181258e-17,1.655881678754482e-05,0.0,1.8331621943181258e-17
144,145,Mesri_Olsen_1971,smectite,0.9670619917515952,3.2750851102721817e-17,1,0,0,1,15,,1.2239632217090536e-11,2.726603337083012e-14,3.126334610988811e-17,3.126334610988816e-17,2.9058446039522752e-05,0.0,3.126334610988816e-17
145,146,Mesri_Olsen_1971,smectite,0.9678760107233236,2.5823848273586423e-17,1,0,0,1,15,,1.343739796673486e-11,2.990861992107414e-14,3.379784058854623e-17,3.3797840588546235e-17,3.1508192203486664e-05,0.0,3.3797840588546235e-17
146,147,Mesri_Olsen_1971,smectite,0.9708379199156806,4.4316976029324186e-17,1,0,0,1,15,,1.9263926988892517e-11,4.273555019564872e-14,4.5655780673440017e-17,4.565578067343987e-17,4.293171400307164e-05,0.0,4.565578067343987e-17
147,148,Mesri_Olsen_1971,smectite,0.972760693383526,3.977958858496953e-17,1,0,0,1,15,,2.48181546595879e-11,5.492922203383241e-14,5.641024344667944e-17,5.641024344667943e-17,5.3218778836516165e-05,0.0,5.641024344667943e-17
