well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,permeability_measured,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,note
AST-02,79,1517.25,NLLFR,"Basaal Zand van Dongen",16.1,16.1,4.8,6.6,7.1,5,2.4,2.5,4.7,39.7,9.7,0.8,0.3,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.161,,,69,6.9E-05,9.14,,24.3,2.66,0.243,9.020478962E-15,9.020478962E-15,1517.3,48.271393,2.246239,0.048097,26.179676,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,80,1517.75,NLLFR,"Basaal Zand van Dongen",13.6,13.6,5.4,12.8,13.1,9.1,4.4,9.6,17.1,12.3,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.136,,,56,5.6E-05,10.7,,28.4,2.65,0.284,1.056007931E-14,1.056007931E-14,1517.8,50.471313,2.214602,0.027415,25.983631,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,81,1518.22,NLLFR,"Basaal Zand van Dongen",56.7,56.7,0,1.6,1.6,1,0,3.8,11.6,20.7,1.8,0.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.567,,,69,6.9E-05,28.3,,30.7,2.66,0.307,2.792992939E-14,2.792992939E-14,1518.2,49.193977,2.228571,0.030695,25.376404,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,82,1518.75,NLLFR,"Basaal Zand van Dongen",16.2,16.2,6.4,8.1,6.8,5,2,3,9.5,38,3.9,0.3,0.1,0,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0.162,,,69,6.9E-05,67.5,,28.8,2.66,0.288,6.661732275E-14,6.661732275E-14,1518.8,51.049301,2.340439,0.059385,25.968479,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,83,1519.25,NLLFR,"Basaal Zand van Dongen",16.5,16.5,6.9,12.6,10.9,8.4,4.6,6.2,10.5,22.2,0.8,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.165,,,69,6.9E-05,2.42,,23.7,2.65,0.237,2.388354386E-15,2.388354386E-15,1519.3,49.683685,2.256829,0.032711,25.871574,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,84,1519.8,NLLFR,"Basaal Zand van Dongen",15.9,15.9,5.2,12.2,12.2,9.6,6.3,11,17.4,8.9,0.5,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.159,,,56,5.6E-05,5.4,,27.2,2.65,0.272,5.32938582E-15,5.32938582E-15,1519.8,46.468712,2.223472,0.031916,26.424896,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,85,1520.28,NLLFR,"Basaal Zand van Dongen",12.7,12.7,4,8.7,8.8,7.5,5.9,12.7,22.2,15.8,1.2,0.2,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.127,,,56,5.6E-05,16.4,,29.4,2.66,0.294,1.618554212E-14,1.618554212E-14,1520.3,49.367485,2.212817,0.028684,26.405415,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,86,1520.75,NLLFR,"Basaal Zand van Dongen",13.4,13.4,8.2,12.1,11.5,8.2,4.6,8.1,5.7,25.5,1.8,0.2,0,0,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0,0,0,0,0,0,0.134,,,69,6.9E-05,11.7,,22.9,2.65,0.229,1.154700261E-14,1.154700261E-14,1520.8,47.7257,2.211485,0.025125,26.70826,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,87,1521.25,NLLFR,"Basaal Zand van Dongen",13.4,13.4,9,13,10.1,6.3,3.4,6.2,10.4,26.5,1.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.134,,,69,6.9E-05,6.58,,24.1,2.65,0.241,6.493955314E-15,6.493955314E-15,1521.3,50.463249,2.21371,0.032033,26.856335,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,88,1522.1,NLLFR,"Basaal Zand van Dongen",15,15,5.1,8.8,6,4,2.6,14.1,34.5,9.1,0.3,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.15,,,56,5.6E-05,27.3,,31.2,2.64,0.312,2.694300609E-14,2.694300609E-14,1522.1,46.484718,2.232432,0.038924,25.942062,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,89,1522.57,NLLFR,"Basaal Zand van Dongen",11.2,11.2,8.3,11.2,9.4,7.7,6.3,14.6,25.7,5.3,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.112,,,56,5.6E-05,47.8,,29,2.65,0.29,4.717493374E-14,4.717493374E-14,1522.6,48.675522,2.226262,0.027509,26.582539,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,90,1523.5,NLLFR,"Basaal Zand van Dongen",12.3,12.3,6.1,9.7,7.2,6.4,5.3,15.7,27.4,9.2,0.4,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.123,,,56,5.6E-05,86,,28.2,2.67,0.282,8.48754038E-14,8.48754038E-14,1523.5,48.834915,2.221435,0.024664,25.466225,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,91,1523.6,NLLFR,"Basaal Zand van Dongen",16.8,16.8,6.3,9.5,7.8,7.2,2.7,12.5,17,19.5,0.5,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.168,,,69,6.9E-05,58.8,,27.4,2.66,0.274,5.803109004E-14,5.803109004E-14,1523.6,48.24958,2.226671,0.026781,25.26738,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,93,1524.57,NLLFR,"Basaal Zand van Dongen",13.9,13.9,5.5,6.6,6.9,5.3,3.5,12.1,34.7,10.3,0.4,0.3,0.3,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.139,,,56,5.6E-05,654,,30.9,2.66,0.309,6.454478382E-13,6.454478382E-13,1524.6,54.883965,2.237966,0.029628,25.840912,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,94,1525,NLLFR,"Basaal Zand van Dongen",10.6,10.6,3.9,5.5,6.4,6.7,5.7,13.5,29.5,16.9,0.9,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.106,,,56,5.6E-05,189,,28.3,2.65,0.283,1.865285037E-13,1.865285037E-13,1525,54.872253,2.242712,0.031977,26.718643,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,95,1525.57,NLLFR,"Basaal Zand van Dongen",17.1,17.1,6.3,8,8.7,6.6,3.9,6.9,14.8,26,1.4,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,,,69,6.9E-05,8.98,,24.3,2.66,0.243,8.862571234E-15,8.862571234E-15,1525.6,53.474464,2.24443,0.035734,26.22953,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,96,1526.14,NLLFR,"Basaal Zand van Dongen",21.2,21.2,7.9,9.7,10.4,7.3,5.1,10.1,13.7,13.3,0.6,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.212,,,56,5.6E-05,22.7,,22.2,2.65,0.222,2.240315891E-14,2.240315891E-14,1526.1,50.19886,2.286813,0.05193,25.656147,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,97,1526.6,NLLFR,"Basaal Zand van Dongen",21.4,21.4,7.2,8.7,9.9,8.8,6.8,10.2,10.8,15,0.9,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,,,69,6.9E-05,1.23,,20.9,2.64,0.209,1.213915659E-15,1.213915659E-15,1526.6,50.76387,2.291779,0.05779,26.432484,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,98,1527.1,NLLFR,"Basaal Zand van Dongen",21.6,21.6,10.8,12.8,15,11.3,5.9,5.5,5.4,11.1,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,,,12,1.2E-05,2.15,,20.2,2.62,0.202,2.121885095E-15,2.121885095E-15,1527.1,52.340324,2.308844,0.08492,26.994675,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,99,1527.6,NLLFR,"Basaal Zand van Dongen",25.6,25.6,8.2,10.7,12,9.4,4.4,6.1,15,8.1,0.2,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.256,,,56,5.6E-05,1.97,,20.5,2.62,0.205,1.944238901E-15,1.944238901E-15,1527.6,54.607285,2.315,0.076492,26.38007,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,100,1528.1,NLLFR,"Basaal Zand van Dongen",15.5,15.5,0.4,2.3,6,9.7,10.1,20.4,27.3,6.3,0.4,0.2,0.2,0.2,0.2,0,0.1,0.2,0.1,0,0.1,0.2,0,0.1,0,0,0,0,0,0.155,,,56,5.6E-05,8.75,,25.3,2.64,0.253,8.635578875E-15,8.635578875E-15,1528.1,49.199982,2.273882,0.048769,26.238464,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,101,1528.6,NLLFR,"Basaal Zand van Dongen",22.1,22.1,6.4,8.4,9.3,6.3,4.1,10.5,23.3,7.6,0.9,0.2,0.1,0.1,0.2,0,0.1,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0.221,,,56,5.6E-05,1.6,,21.2,2.62,0.212,1.57907728E-15,1.57907728E-15,1528.6,48.623596,2.248754,0.040882,26.091915,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,102,1529.1,NLLFR,"Basaal Zand van Dongen",25.9,25.9,7.8,9.5,12,8.1,3.4,6,11.5,14,0.8,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,0.259,,,12,1.2E-05,20.9,,20.4,2.63,0.204,2.062669697E-14,2.062669697E-14,1529.1,51.731499,2.262275,0.042602,26.509163,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,103,1529.6,NLLFR,"Basaal Zand van Dongen",21.6,21.6,6.2,6.8,7.1,6.4,2.9,10.9,31,3.8,1.1,1.6,0.3,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.216,,,56,5.6E-05,22,,21.7,2.63,0.217,2.17123126E-14,2.17123126E-14,1529.6,54.663994,2.25414,0.037297,26.346241,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,104,1531.08,NLLFR,"Landen klei",18.9,18.9,5.8,7.9,10.6,10,5.8,15.6,23.4,1.6,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.189,,,56,5.6E-05,5.4,,24.2,2.65,0.242,5.32938582E-15,5.32938582E-15,1531.1,55.792709,2.280487,0.049899,25.890305,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,105,1531.6,NLLFR,"Landen klei",23.5,23.5,7,8.9,8.7,6.3,2.9,9.7,27.1,4.9,0.3,0.3,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.235,,,56,5.6E-05,8.01,,22.6,2.64,0.226,7.905255633E-15,7.905255633E-15,1531.6,51.673149,2.268053,0.032332,25.876011,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,106,1532.07,NLLFR,"Landen klei",37.6,37.6,9.7,14.3,14.7,10.8,7.8,4.7,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,,,12,1.2E-05,153,,22.4,2.64,0.224,1.509992649E-13,1.509992649E-13,1532.1,53.986664,2.285092,0.024813,26.50864,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,108,1533.1,NLLFR,"Landen klei",24,24,10.4,12.2,15,12.5,10.5,7.6,1.8,1.4,1.8,1.5,0.7,0.2,0.2,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.24,,,12,1.2E-05,14.2,,21.5,2.62,0.215,1.401431086E-14,1.401431086E-14,1533.1,57.627106,2.298535,0.045133,27.523174,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,109,1533.6,NLLFR,"Landen klei",17.2,17.2,7.2,8.6,8.6,5.8,2.7,0.6,0.1,1.9,1.1,1,1.4,1.1,2,1.8,1.8,2.5,4.9,4,4.7,5.7,4.4,4.2,3.1,1.8,1.2,0.3,0.3,0.172,,,12,1.2E-05,2.02,,18,2.61,0.18,1.993585066E-15,1.993585066E-15,1533.6,61.288925,2.314338,0.038801,27.621346,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,110,1534.04,NLLFR,"Landen klei",31.5,31.5,8.6,12,15.8,14.3,11.2,5.8,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.315,,,12,1.2E-05,7.27,,20.1,2.61,0.201,7.174932391E-15,7.174932391E-15,1534,56.761925,2.292744,0.021578,26.64344,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,111,1534.6,NLLFR,"Landen klei",34.2,34.2,8.2,10.8,14.9,14.3,7.2,6.5,2.5,0.8,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0.342,,,12,1.2E-05,16.7,,19.1,2.6,0.191,1.648161911E-14,1.648161911E-14,1534.6,58.305389,2.259552,0.019443,27.349957,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,112,1535.1,NLLFR,"Landen klei",6.2,6.2,10.9,14.1,13.7,8.4,5.2,4,2.9,12.2,10.7,6.7,3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0.062,,,6,6E-06,,,,,,,,1535.1,54.573311,2.298526,0.030249,27.857712,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,113,1229.1,NMVFV,"Zand van Voort",6.7,6.7,8.5,11.4,11,7.7,5.4,5.9,7.4,11.7,11.4,7.6,3.8,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.1,0,0,0,0.067,,,69,6.9E-05,19,,30,2.63,0.3,1.87515427E-14,1.87515427E-14,1229.1,61.175339,,,,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,114,1229.6,NMVFV,"Zand van Voort",5.8,5.8,10.5,12.1,12.2,8.7,5.3,4.6,3.5,11.2,12.8,8.5,4.1,0.4,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.058,,,81,8.1E-05,7.52,,30.4,2.61,0.304,7.421663216E-15,7.421663216E-15,1229.6,61.65078,,,,0.15,0.5,0.35,,,"clay composition estimated"
AST-02,115,1230.1,NMVFV,"Zand van Voort",5.7,5.7,8.6,10.9,10.4,7.8,5.5,6.3,6.3,11.1,12.5,8.9,4.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.057,,,81,8.1E-05,7.25,,31.2,2.61,0.312,7.155193925E-15,7.155193925E-15,1230.1,71.933914,,,,0.15,0.5,0.35,,,"clay composition estimated"
